Date,CL Brent Price,CL WTI Price,Federal Fund Rate,ACTUAL_RELEASE_gdp_growth,CPI_growth,PCE_growth,NG Price,Unemployment Rate,NFP,Stock,Per End,P/E,P/B,D/E,PEG,Reported,Total Assets,Total Liabilities,Total Shareholders' Equity,Book Value per Share,ST Debt & Curr. Portion LT Debt,Long-Term Debt,Total Equity,Revenue,Operating Expenses,Net Income,Net Operating Cash Flow,Net Investing Cash Flow
DEC '23,77.04,71.65,5.33,3.4,0.2,0.18,2.514,3.73,157304,WFRD,DEC '23,14.815533980582524,2.3781824358915418,2.234273318872017,252.60485436893225,2.06,5068,4146,924,12.83333,214,1846,922,1362,1338,140,375,-131
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,APA,SEP '23,29.759579263711494,11.2729207992646,2.701471286188894,144.0783154661626,1.331,13545,11438,1078,3.51373,110,5582,2107,2308,1468,459,764,-667
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,BKR,SEP '23,80.1171875,2.7072423021459286,0.4325430334524196,375.78776041666674,0.512,36550,21155,15250,15.15195,802,5857,15395,6641,6552,518,810,-89
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,CHRD,SEP '23,7.494796594134342,0.3316697650980917,0.08726123828023964,-2284.590350047256,5.285,6912.538,1971.524,4941.014,119.42602,13.543,417.616,4941.014,1123.368,796.2149999999999,208.275,399.47,-254.029
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,CHX,SEP '23,100.24449877750612,4.644260939500006,0.39383973535397115,-689.1809290953544,0.409,3311.204,1605.076,1721.479,8.8281,30.836,641.105,1706.128,939.783,972.5959999999999,77.711,163.03,-48.469
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,EXE,SEP '23,36.34034766697164,0.5074586326033995,0.2052006232956759,101.79204911017327,1.093,14248,3980,10268,78.27239,75,2032,10268,1406,1459,70,506,-480
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,FANG,SEP '23,7.330721880246222,0.43166102944455437,0.36681582666038626,-114.09145167801157,5.361,28049,11065,16280,91.04366,0,6230,16984,2340,986,907,1358,15
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,GPRE,SEP '23,131.0891089108911,2.8543956399322186,0.7555290119200079,-18.620612061206124,0.303,1951.144,976.648,828.149,13.91538,185.018,551.242,974.496,889.908,903.475,22.311,113.047,-11.471
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,PTEN,SEP '23,188.51485148514848,3.2756566581936575,0.27729342289325865,-836.3204320432043,0.202,7420.574,2560.96,4851.213,11.62515,67.476,1280.063,4859.614,1011.452,979.2969999999999,0.05,156.076,-571.424
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,VNOM,SEP '23,27.14088397790055,3.9031773651467114,0.2797849973641504,-193.14210458692028,1.448,3143.366,724.791,713.485,10.06872,1,675.681,2418.575,195.614,52.32600000000001,78.453,239.728,-52.292
SEP '23,95.31,90.79,5.33,4.9,0.4,0.32,2.929,3.7,156667,WFRD,SEP '23,25.513378967019293,3.9784349419148497,2.833551769331586,137.104606598468,1.607,4895,4167,742,10.30556,134,2028,763,1313,1311,123,172,-36
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,APA,JUN '23,45.84018801410106,16.90610847472318,3.347877358490566,126.09962982718588,0.851,13244,11548,709,2.30745,104,5574,1696,1796,1153,381,1000,-583
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,BKR,JUN '23,100.07894736842105,2.537163473919187,0.4353295767265103,557.1061403508769,0.38,36093,20831,15125,14.98918,797,5847,15262,6315,6394,410,859,-185
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,CHRD,JUN '23,10.422121293080417,0.33501461835127805,0.08838817570862131,34.323058939515036,3.743,6559.69,1740.12,4819.57,116.44268,10.4,415.593,4819.57,912.071,691.041,216.071,408.236,-616.701
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,CHX,JUN '23,79.51417004048584,4.456950937230518,0.397462626772301,565.7237671732927,0.494,3329.838,1617.516,1730.031,8.8132,32.891,647.693,1712.322,926.6,963.421,95.797,115.91,-27.143
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,EXE,JUN '23,62.098765432098766,0.5135854454173157,0.20402077722200845,246.0293944738388,0.648,14429,4033,10396,78.35113,85,2036,10396,1260,1393,391,515,453
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,FANG,JUN '23,10.342273307790549,0.46654694765490734,0.4035899333826795,34.78846273236839,3.915,27587,11375,15554,86.78655,0,6543,16212,1919,922,551,1513,-595
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,GPRE,JUN '23,-47.04494382022472,3.2038749516970126,0.8976823509589006,153.96527068437183,-0.89,2022.796,1096.944,777.948,13.06855,273.452,557.669,925.852,837.052,964.1540000000001,-52.604,-51.465,-22.178
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,PTEN,JUN '23,94.09411764705884,4.835374774796561,0.4909099047826115,-212.43929654335963,0.425,3117.196,1397.027,1720.169,8.2703,4.753,839.695,1720.169,758.885,681.4129999999999,84.614,162.857,-125.867
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,VNOM,JUN '23,-165.265306122449,4.327158396012474,0.28450027775712217,-169.64319502635496,-0.245,2967.038,680.868,666.293,9.35718,1,649.416,2286.17,158.197,50.70100000000001,30.494,145.426,-7.874
JUN '23,74.9,70.64,5.08,2.1,0.2,0.26,2.798,3.57,156027,WFRD,JUN '23,22.925840092699886,4.417117922648529,3.263392857142857,991.1017024690361,1.726,4648,3976,645,8.95833,75,2118,672,1274,1270,82,201,-58
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,APA,MAR '23,28.570234113712377,23.74961772637549,4.145847871598046,-140.35474234503366,1.196,13213,11780,444,1.43876,145,5796,1433,2008,1157,242,335,-532
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,BKR,MAR '23,135.15679442508713,2.667585432879177,0.44844770691629066,443.5915304207988,0.287,35042,20193,14714,14.54124,684,5975,14849,5716,5883,576,461,-229
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,CHRD,MAR '23,7.595021115803513,0.2982639415043047,0.09004106128933288,-80.1676387487818,4.499,6615.403,1856.663,4758.74,114.56296,11.589,416.893,4758.74,896.517,598.5559999999999,296.999,468.811,-241.588
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,CHX,MAR '23,105.72625698324023,4.437894104928936,0.41123443196466936,482.54548059017344,0.358,3327.336,1657.167,1688.707,8.52882,33.646,653.185,1670.169,948.347,984.6519999999999,63.532,92.378,-23.025
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,EXE,MAR '23,15.178571428571427,0.4431250324198094,0.2066517553243217,-20.266634050880626,2.24,14591,4308,10283,76.72778,85,2040,10283,2105,1582,1389,889,395
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,FANG,MAR '23,8.893709327548807,0.43334303364080723,0.4316814488618743,-88.30182832352027,4.149,27589,11466,15464,85.15194,10,6950,16123,1925,898,707,1425,-1279
MAR '23,79.77,75.67,4.65,2,0.1,0.29,2.216,3.5,155206,GPRE,MAR '23,-26.883333333333333,2.3328194284953963,0.8194909340549228,29.56421975992613,-1.2,2034.832,1061.795,822.988,13.82876,237.875,559.52,973.037,840.166,913.4570000000001,-70.324,-116.968,-35.42
